# Correcciones deterministas para español.
# Formato:  mal<TAB>bien   — solo palabras completas, sin distinguir mayúsculas.
Claudio	Claude
cloud code	Claude Code
Hiperland	Hyprland
Waylan	Wayland
implement arlo	implementarlo
actual mente	actualmente
Kaelest ia	caelestia
Kaelestia	caelestia
caelestia ia	caelestia
pz get	pzget
